"https://tienda.mercadona.es/product/10681/leche-entera-calcio-hacendado-pack-6","huevos_leche_y_mantequilla_leche_y_bebidas_vegetales","Leche entera calcio Hacendado","Pack-6","6.00","1.000","l","2022-12-07","10681"
"https://tienda.mercadona.es/product/10682/leche-entera-calcio-hacendado-brick","huevos_leche_y_mantequilla_leche_y_bebidas_vegetales","Leche entera calcio Hacendado","Brick","1.00","1.000","l","2022-12-07","10682"
"https://tienda.mercadona.es/product/10683/leche-semidesnatada-calcio-hacendado-pack-6","huevos_leche_y_mantequilla_leche_y_bebidas_vegetales","Leche semidesnatada calcio Hacendado","Pack-6","5.94","0.990","l","2022-12-07","10683"
"https://tienda.mercadona.es/product/10685/leche-semidesnatada-calcio-hacendado-brick","huevos_leche_y_mantequilla_leche_y_bebidas_vegetales","Leche semidesnatada calcio Hacendado","Brick","0.99","0.990","l","2022-12-07","10685"
"https://tienda.mercadona.es/product/10686/leche-desnatada-calcio-hacendado-pack-6","huevos_leche_y_mantequilla_leche_y_bebidas_vegetales","Leche desnatada calcio Hacendado","Pack-6","5.88","0.980","l","2022-12-07","10686"
"https://tienda.mercadona.es/product/10687/leche-desnatada-calcio-hacendado-brick","huevos_leche_y_mantequilla_leche_y_bebidas_vegetales","Leche desnatada calcio Hacendado","Brick","0.98","0.980","l","2022-12-07","10687"
"https://tienda.mercadona.es/product/10688/bebida-avena-con-cafe-hacendado-vaso","huevos_leche_y_mantequilla_leche_y_bebidas_vegetales","Bebida de avena con café Hacendado","Vaso","0.90","3.600","l","2022-12-07","10688"
"https://tienda.mercadona.es/product/10698/leche-entera-sin-lactosa-hacendado-pack-6","huevos_leche_y_mantequilla_leche_y_bebidas_vegetales","Leche entera sin lactosa Hacendado","Pack-6","6.18","1.030","l","2022-12-07","10698"
"https://tienda.mercadona.es/product/10699/leche-entera-sin-lactosa-hacendado-brick","huevos_leche_y_mantequilla_leche_y_bebidas_vegetales","Leche entera sin lactosa Hacendado","Brick","1.03","1.030","l","2022-12-07","10699"
"https://tienda.mercadona.es/product/10700/leche-semidesnatada-pascual-brick","huevos_leche_y_mantequilla_leche_y_bebidas_vegetales","Leche semidesnatada Pascual","Brick","1.19","1.190","l","2022-12-07","10700"
"https://tienda.mercadona.es/product/10713/leche-semidesnatada-calcio-puleva-brick","huevos_leche_y_mantequilla_leche_y_bebidas_vegetales","Leche semidesnatada calcio Puleva","Brick","1.49","1.490","l","2022-12-07","10713"
"https://tienda.mercadona.es/product/10717/leche-semidesnatada-pascual-pack-6","huevos_leche_y_mantequilla_leche_y_bebidas_vegetales","Leche semidesnatada Pascual","Pack-6","7.14","1.190","l","2022-12-07","10717"
"https://tienda.mercadona.es/product/10721/leche-semidesnatada-sin-lactosa-hacendado-pack-6","huevos_leche_y_mantequilla_leche_y_bebidas_vegetales","Leche semidesnatada sin lactosa Hacendado","Pack-6","6.12","1.020","l","2022-12-07","10721"
"https://tienda.mercadona.es/product/10722/leche-semidesnatada-sin-lactosa-hacendado-brick","huevos_leche_y_mantequilla_leche_y_bebidas_vegetales","Leche semidesnatada sin lactosa Hacendado","Brick","1.02","1.020","l","2022-12-07","10722"
